626513444	Claudia	Chueca	Almirall	1953-07-08	c.chueca@institut.edu
681165448	Anna	Salvador	Alonso	1980-12-28	a.salvador@gencat.cat
650321936	Carlos	Tavera	Alonso	1992-06-18	c.tavera@govern.cat
628793923	Daniel	Viadé	Andavert	1995-02-27	d.viadé@bcn.cat
693143413	Alfons	Molons	Antius	1951-01-12	a.molons@educacio.eu
627847424	Daria del Carmen	García	Artacho	1964-06-23	d.garcía@govern.cat
659650642	Diana Carolina	Martino	Astrada	2001-07-02	d.martino@institut.edu
604301528	Álvaro	Clapés-Saganyoles	Baena	1949-08-14	á.clapés-saganyoles@educacio.edu
678548610	Ada	Colau	Ballano	1946-04-10	a.colau@gencat.cat
624839554	David	Belzunce	Barranco	1962-11-18	d.belzunce@gencat.cat
663238654	Albert	Batlle	Bastardas	1997-09-23	a.batlle@gencat.cat
655058360	Elena	Molina	Belles	1996-02-14	e.molina@educacio.com
666968360	Daniel	Sirera	Bellés	1968-06-19	d.sirera@educacio.com
685845574	Alejandro	Monllaó	Bellobí	1959-06-16	a.monllaó@institut.edu
653592416	David	Lizoain	Bennett	1983-08-23	d.lizoain@gencat.cat
602243415	Carolina	Recio	Cáceres	1953-07-06	c.recio@govern.cat
625367816	Aitor	Hernández	Carr	1981-03-12	a.hernández@govern.cat
614258565	Dídac	Ramírez	Casas	1959-08-06	d.ramírez@institut.edu
611447758	Adriana	Garcia	Castro	1987-09-22	a.garcia@gencat.cat
680196477	Clara Jakqueline	Baca	Chankingah	1985-06-19	c.baca@educacio.edu
663446271	Albert	Salmerón	Cojo	1995-10-25	a.salmerón@institut.edu
664688737	Elisenda	Graell	Collell	1976-07-18	e.graell@institut.edu
651658826	David	Langa	Corbalán	2001-12-22	d.langa@educacio.edu
655263614	Agustín	Abelaira	Dapena	1964-01-19	a.abelaira@educacio.edu
685730577	Angel David	Fuentes	De los Santos	1954-02-14	a.fuentes@educacio.com
611692135	Eduard	Güell	del Frago	1956-12-19	e.güell@educacio.eu
666128601	César	Ochoa	Díez	1952-08-13	c.ochoa@educacio.eu
635634466	Ana	Aroca	Donato	1947-01-23	a.aroca@bcn.cat
686464712	Encarnación	Guerrero	Egea	1949-05-27	e.guerrero@gencat.cat
637564004	Carlos	Rodríguez	Escuredo	1975-06-15	c.rodríguez@bcn.cat
638343415	Aïda	Boladeres	Faura	1950-09-01	a.boladeres@gencat.cat
653577646	Adriana	Partal	Fernández	1961-05-09	a.partal@govern.cat
656642921	Blas	Navalón	Fernández	1960-07-15	b.navalón@gencat.cat
663248872	Cristina	Caballer	Ferrater	1967-06-25	c.caballer@educacio.eu
662846559	Cristian	Sais	Fetthauer	1965-12-13	c.sais@bcn.cat
640110588	Alejandro	Montes	Flotats	1963-04-18	a.montes@institut.edu
675482626	Cristina	Company	Fontané	1977-05-12	c.company@gencat.cat
682556585	Carles	Lalueza	Fox	1977-12-15	c.lalueza@gencat.cat
631449549	Alejandro	López	García	1958-04-16	a.lópez@govern.cat
644418518	Carolina	López	García	1940-10-27	c.lópez@educacio.com
654654809	David	Bondia	García	1971-07-15	d.bondia@educacio.edu
